Unnamed: 0,SAMPID,근무 시작 시점 (년),근무 시작 시점 (월),직업 코드 (세분류),직업 코드 (대분류),아버지 직업 (고용직업분류),아버지 직업 (표준직업분류),아버지 종사상지위,아버지 최종학력 변동 여부,아버지 최종학교,어머니 최종학교,어머니 직업 (고용직업분류),어머니 직업 (표준직업분류),주택 종류,"주택 면적 (비단독주택, 평)"
7480,107482,2021.0,2.0,8161.0,8.0,6.0,5.0,3.0,1.0,,,10.0,11.0,2.0,34.0
7481,107483,2022.0,3.0,5321.0,5.0,5.0,4.0,3.0,1.0,,,5.0,4.0,2.0,32.0
7483,107485,2021.0,12.0,5222.0,5.0,0.0,3.0,1.0,1.0,,,2.0,2.0,2.0,32.0
7489,107491,2019.0,6.0,6152.0,6.0,0.0,3.0,1.0,1.0,,,6.0,4.0,6.0,6.0
7491,107493,2022.0,4.0,6152.0,6.0,0.0,3.0,1.0,1.0,,,10.0,11.0,6.0,8.0
7492,107494,2021.0,6.0,6152.0,6.0,6.0,1.0,1.0,1.0,,,10.0,11.0,6.0,8.0
7494,107496,2021.0,9.0,6161.0,6.0,10.0,11.0,,1.0,,,10.0,11.0,2.0,43.0
7497,107499,2022.0,9.0,291.0,0.0,8.0,4.0,2.0,1.0,,,8.0,3.0,2.0,40.0
7501,107503,2019.0,4.0,283.0,0.0,10.0,11.0,,1.0,,,10.0,11.0,3.0,9090909.0
7502,107504,2022.0,6.0,5230.0,5.0,6.0,4.0,2.0,1.0,,,5.0,9.0,1.0,
7504,107506,2022.0,2.0,263.0,0.0,2.0,3.0,1.0,1.0,,,5.0,4.0,2.0,33.0
7505,107507,2022.0,8.0,272.0,0.0,7.0,7.0,2.0,1.0,,,10.0,11.0,2.0,32.0
7506,107508,2021.0,11.0,3064.0,3.0,6.0,4.0,1.0,1.0,,,10.0,11.0,2.0,8.0
7508,107510,2021.0,11.0,3064.0,3.0,0.0,1.0,1.0,1.0,,,10.0,11.0,2.0,8.0
7509,107511,2020.0,10.0,8721.0,8.0,6.0,4.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7513,107515,2022.0,5.0,5321.0,5.0,6.0,1.0,3.0,1.0,,,6.0,4.0,2.0,8.0
7514,107516,2022.0,5.0,263.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7516,107518,2018.0,5.0,283.0,0.0,8.0,1.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7520,107522,2021.0,1.0,2321.0,2.0,6.0,4.0,1.0,1.0,,,10.0,11.0,2.0,13.0
7521,107523,2021.0,3.0,6153.0,6.0,6.0,4.0,1.0,1.0,,,10.0,11.0,2.0,13.0
7523,107525,2017.0,10.0,284.0,0.0,0.0,3.0,2.0,1.0,,,10.0,11.0,3.0,9090909.0
7524,107526,2020.0,2.0,263.0,0.0,0.0,3.0,2.0,1.0,,,10.0,11.0,2.0,9090909.0
7525,107527,2020.0,3.0,4154.0,4.0,0.0,3.0,2.0,1.0,,,10.0,11.0,2.0,33.0
7529,107531,2021.0,6.0,5317.0,5.0,6.0,5.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7531,107533,2022.0,1.0,6151.0,6.0,0.0,1.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7532,107534,2021.0,3.0,5322.0,6.0,6.0,4.0,1.0,1.0,,,10.0,11.0,2.0,8.0
7533,107535,2022.0,5.0,295.0,0.0,0.0,2.0,1.0,1.0,,,10.0,11.0,2.0,48.0
7534,107536,2022.0,3.0,295.0,0.0,11.0,12.0,,,,,10.0,11.0,2.0,9090909.0
7544,107546,2022.0,11.0,4154.0,4.0,8.0,8.0,1.0,1.0,,,4.0,1.0,1.0,
7546,107548,2022.0,11.0,4155.0,4.0,2.0,1.0,1.0,1.0,,,10.0,11.0,2.0,30.0
7547,107549,2020.0,3.0,6153.0,6.0,0.0,1.0,1.0,1.0,,,0.0,1.0,2.0,17.0
7548,107550,2021.0,5.0,2141.0,2.0,7.0,7.0,1.0,1.0,,,2.0,2.0,2.0,34.0
7549,107551,2022.0,3.0,6241.0,6.0,6.0,4.0,1.0,1.0,,,10.0,11.0,3.0,9090909.0
7551,107553,2021.0,4.0,263.0,0.0,0.0,1.0,1.0,1.0,,,11.0,12.0,2.0,32.0
7553,107555,2021.0,10.0,5319.0,5.0,5.0,9.0,1.0,1.0,,,5.0,9.0,5.0,9090909.0
7554,107556,2021.0,4.0,5319.0,5.0,10.0,11.0,,1.0,,,10.0,11.0,6.0,9090909.0
7555,107557,2022.0,2.0,5240.0,5.0,1.0,3.0,1.0,1.0,,,5.0,3.0,2.0,9090909.0
7556,107558,2022.0,4.0,263.0,0.0,0.0,3.0,1.0,1.0,,,0.0,3.0,2.0,32.0
7558,107560,2022.0,10.0,283.0,0.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,55.0
7559,107561,2017.0,3.0,4145.0,4.0,0.0,3.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7562,107564,2017.0,3.0,2321.0,2.0,5.0,4.0,1.0,1.0,,,6.0,5.0,2.0,32.0
7566,107568,2021.0,6.0,8859.0,8.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7567,107569,2021.0,1.0,6153.0,6.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,9090909.0
7568,107570,2019.0,7.0,324.0,0.0,1.0,2.0,1.0,1.0,,,0.0,3.0,2.0,32.0
7569,107571,2021.0,6.0,2312.0,2.0,0.0,3.0,1.0,1.0,,,2.0,3.0,2.0,32.0
7570,107572,2021.0,1.0,2141.0,2.0,0.0,3.0,1.0,1.0,,,2.0,3.0,2.0,9090909.0
7575,107577,2021.0,9.0,5112.0,5.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,32.0
7576,107578,2019.0,9.0,4204.0,4.0,8.0,8.0,1.0,1.0,,,10.0,11.0,2.0,32.0
7577,107579,2022.0,9.0,6161.0,6.0,0.0,4.0,2.0,1.0,,,5.0,4.0,2.0,32.0
